driver_id,name,license_number,phone,status
88,Mr. Dylan Frye MD,LIC-Sd-6471,(776)777-3592,Active
89,Shannon Hester,LIC-gu-2588,671.847.3210,Inactive
90,Jennifer Estes,LIC-mW-2595,(878)977-4701,Active
91,Cindy Gomez,LIC-PR-0479,248.501.6245x6506,Inactive
92,Dylan Hughes,LIC-RN-7849,521-865-5852,Active
93,Amber Taylor,LIC-jM-5787,925.695.2694x95888,Inactive
94,Alan Rivera,LIC-YU-1694,001-809-474-9930x972,Active
95,Dana Armstrong,LIC-uA-1307,(563)768-9702,Active
96,Mrs. Jamie Frye DDS,LIC-RX-8585,001-949-773-3484x3443,Active
97,Justin Michael,LIC-RI-4419,(565)624-0415x7473,Inactive
98,Melissa Taylor,LIC-dQ-9933,933.901.6571x20826,Inactive
99,Nicole Mitchell,LIC-oI-4019,001-302-762-0672x4004,Inactive
100,William Daniels,LIC-rm-7287,552-474-2054,Inactive
101,Margaret Sullivan,LIC-zQ-6851,522-975-3046,Active
102,Tiffany Turner,LIC-Sp-9045,6177426841,Inactive
103,Colleen Anderson,LIC-AS-2795,+1-778-333-9187,Active
104,Ashley Poole,LIC-jk-8398,887-913-9718x70728,Active
105,Kristin Chambers,LIC-aV-4064,391.906.5180,Inactive
106,Jason Mack,LIC-yy-6567,482-551-2868,Inactive
107,Nicole Good,LIC-yo-7868,275.524.3106,Active
108,Brian Johnson,LIC-zC-9030,783.702.8439,Active
109,Shawn Odom,LIC-rd-8364,+1-792-868-7056,Active
110,Elijah White,LIC-tT-8733,(870)586-6882,Inactive
111,Gary Miller,LIC-Um-7518,5469990139,Inactive
112,Terry Turner,LIC-VW-0331,639.636.3854x6785,Inactive
113,Stephen Owens,LIC-uA-7535,8936204899,Inactive
114,Gary James,LIC-qW-3785,277.325.2287x2808,Active
115,Mary Duran,LIC-Tj-6231,9382750997,Inactive
116,Juan Smith,LIC-bG-8484,001-762-611-8233x984,Inactive
117,Angela Chung,LIC-tR-7933,201-466-6870,Inactive
118,Ryan Newman,LIC-co-5918,297.440.1489,Active
119,Emily Ali,LIC-tk-9261,001-739-268-5621,Inactive
120,David Jones,LIC-Xu-9996,4478735866,Inactive
121,Luke Yates,LIC-yT-1142,+1-426-355-1104x7541,Inactive
122,Jerry Peters,LIC-wJ-6101,399-556-0466,Active
123,Carolyn James,LIC-Fj-2444,626-546-4715,Inactive
124,Kathleen Jensen,LIC-az-7124,796-457-5692x45937,Inactive
125,Tracy Carter,LIC-yr-7935,(651)393-9828x0737,Inactive
126,Rebecca Ortiz,LIC-qQ-7243,(866)217-9796,Inactive
127,Heather Woodard,LIC-Xp-8911,+1-552-990-9656x10143,Inactive
128,Joel Frazier,LIC-Eg-8250,961-312-5457x3875,Active
129,Michael Flores,LIC-vP-4010,823-982-8258,Inactive
130,Jared Lopez,LIC-mC-6609,001-366-403-3419,Inactive
131,Craig Wilson,LIC-yN-7859,(791)355-7924x9912,Inactive
132,Bruce Brooks,LIC-Mi-2866,001-966-627-8282,Inactive
133,Ernest Hayes,LIC-im-0507,(588)676-7677x2190,Active
134,Danny Roberts,LIC-Gh-7978,001-514-885-8078,Active
135,Ronald Potter,LIC-wf-4074,513.239.5962x923,Inactive
136,Kim Carlson,LIC-Kr-2544,412.660.4223x25367,Inactive
137,Jaime Jones,LIC-Sx-1684,875.590.1751x863,Active
138,Frank Campbell MD,LIC-RW-2975,2018701277,Active
139,Michael Anderson,LIC-Px-4241,515-920-6436x110,Inactive
140,Kevin Stone,LIC-hB-7005,001-427-813-6111x554,Inactive
141,Nicole Anderson,LIC-aN-2189,+1-327-853-2697x3112,Inactive
142,Jeffrey Moody,LIC-JM-3413,+1-294-504-3898x364,Active
143,Brian Porter MD,LIC-iy-8055,001-365-282-7109,Active
144,Andrew Brown,LIC-XA-6848,(761)888-9241x41832,Active
145,Pamela Santos,LIC-dp-1463,361-279-9042,Inactive
146,Meredith Martin,LIC-kx-5884,(641)305-6481,Inactive
147,Jorge Brown PhD,LIC-Xg-2524,001-913-780-0030,Inactive
148,Chris Velazquez,LIC-up-0863,(354)919-5180x23806,Active
149,Patricia Collins,LIC-xm-1870,294-893-7597x3832,Active
150,Joshua Fields,LIC-VU-0506,813-783-6702x4103,Active
151,Paul Carpenter,LIC-LK-8261,7629344565,Inactive
152,Benjamin Harris,LIC-kC-9121,356.418.5374x741,Active
153,Elizabeth Bush,LIC-jf-9035,001-535-368-0442x067,Inactive
154,Robert Taylor,LIC-mz-0032,(719)394-1013x721,Inactive
155,Joel Jackson,LIC-by-9667,+1-562-653-2447x20999,Active
156,Dr. John Miller MD,LIC-OZ-6383,+1-706-857-8759,Active
157,Alexander Harper,LIC-Hw-0407,001-493-421-3348x03965,Inactive
158,Evan Rojas,LIC-KK-5905,(393)278-4270,Active
159,Daniel Fox,LIC-Zi-0593,325-700-2921x85156,Inactive
160,Chad Moore,LIC-TJ-6752,001-895-239-2644x220,Inactive
161,Evan Lamb,LIC-Fj-9391,713-655-2157x04331,Inactive
162,Michelle Williams,LIC-Fy-7626,(286)717-9327x104,Inactive
163,Brian Peterson,LIC-fv-6218,+1-597-506-2962x015,Inactive
164,Julian Frost,LIC-pg-8444,8693872050,Active
165,Matthew Greene,LIC-kO-3103,717-814-6774x1862,Inactive
166,Jeremy Baker,LIC-Kd-7434,(211)858-6938,Active
167,Jennifer Nichols,LIC-tf-7937,(508)498-9921x7223,Active
168,Blake Vega,LIC-uU-3294,916-286-8548,Inactive
169,Lisa Mills,LIC-jK-6162,001-891-619-1485,Inactive
170,John Lynch,LIC-jN-0246,+1-660-665-3074x505,Inactive
171,John Horton,LIC-VC-1324,001-454-369-1373x67850,Active
172,Jonathon Taylor,LIC-mm-8902,9308705345,Active
173,Becky Johnson,LIC-lE-5797,001-885-252-4140,Active
174,Kenneth Hanna,LIC-PA-3334,800.772.2903x49446,Active
175,Daniel Turner,LIC-ga-8969,658.699.4417x15454,Inactive
176,Joseph Allen,LIC-Ri-0965,001-507-944-6660x9935,Inactive
177,Megan Romero,LIC-gE-2824,(648)825-1353,Inactive
178,Erin Green,LIC-dO-4717,001-699-817-3816,Active
179,Scott Taylor,LIC-Dj-3569,421-975-2500x74329,Active
180,Penny Anderson,LIC-Ey-6666,2082350583,Active
181,Danielle Steele,LIC-yG-5421,001-742-810-4478,Inactive
182,Whitney Cooper,LIC-Zz-7532,3337230982,Inactive
183,Rebecca Brooks,LIC-Md-4890,+1-210-601-6761x84723,Inactive
184,Brian Meyer,LIC-gG-9926,001-791-841-1739x3483,Active
185,Andrew Crawford,LIC-aa-3753,+1-611-997-2181x14374,Inactive
186,Robert Sawyer,LIC-Vh-4556,600-322-5579,Active
187,Grant Wilson,LIC-SE-6746,(821)720-2169x79729,Inactive
188,Shari Hobbs,LIC-AC-2771,7143508993,Active
189,Nicholas Olson,LIC-da-6289,+1-528-877-2175x3540,Inactive
190,David Stevens,LIC-Cu-9717,270-316-6088,Active
191,Tracey Walsh,LIC-vx-8837,9373589975,Inactive
192,Matthew Smith,LIC-xS-5488,502-572-6149,Active
193,Samuel Lewis,LIC-cO-3516,+1-991-477-9827x08086,Active
194,Carrie Ochoa,LIC-uG-1699,(669)734-6547x2269,Active
195,Taylor Chen,LIC-Rw-3394,+1-622-888-5158x79968,Active
196,Kelly Johnson,LIC-rW-2003,(744)920-4380,Inactive
197,Sean Stevenson,LIC-GY-3863,001-940-566-6580x043,Active
198,Michele Holland,LIC-XU-9893,847.221.2281,Inactive
199,Justin Anderson,LIC-DT-9405,(702)359-0947,Inactive
200,Emily Robinson,LIC-kA-2818,+1-786-615-3355,Inactive
201,Paul Moreno,LIC-Cp-8015,+1-799-930-5616x4840,Inactive
202,Mr. Matthew Flores,LIC-Ia-1128,+1-713-236-1386x1207,Active
203,Anthony Bauer,LIC-qA-8193,(276)365-0618x0919,Active
204,Jonathan Roberts,LIC-WC-4914,(760)272-8326x8424,Inactive
205,Kristen Martinez,LIC-IJ-0996,443-553-6822,Inactive
206,Dawn Wilson,LIC-PJ-9087,741-441-3975,Inactive
207,Cynthia Mitchell,LIC-Cv-1357,+1-549-529-9556x205,Inactive
208,Margaret Hill,LIC-DC-5257,(647)381-2914x283,Active
209,Stephanie Atkinson,LIC-XL-0996,808.548.8725,Inactive
210,Leah Vincent,LIC-fz-2788,(480)939-2827x229,Inactive
211,Amanda Juarez,LIC-oc-3145,+1-438-856-7700x51844,Active
212,Holly Valdez,LIC-oH-1846,(655)577-9082x7231,Active
213,Christopher Guzman,LIC-Uh-1365,477.439.2603x0299,Active
214,Amanda Armstrong,LIC-Hz-0242,+1-890-441-3797x723,Active
215,Samantha White,LIC-DM-8425,001-813-466-2103,Inactive
216,Cassandra Valenzuela,LIC-Wh-9088,772-298-0686,Active
217,Jessica Mays,LIC-ZV-7659,001-591-262-4731x49864,Active
218,Rachel Lane,LIC-Pn-1806,001-756-651-2694x486,Active
219,Jennifer Harris DDS,LIC-JJ-8725,844.795.6213x7213,Inactive
220,Lisa Cohen,LIC-Zf-0260,(379)261-1435,Active
221,Tara Morales,LIC-Xl-8490,+1-477-203-8430x9883,Inactive
222,Matthew Cantrell,LIC-Qz-1465,(693)580-1184x8955,Inactive
223,Cheyenne Spears,LIC-AG-9042,681-984-5184,Inactive
224,Kristine Carrillo,LIC-bE-5779,241-663-3565,Active
225,Brandon Nunez,LIC-Eu-5182,(539)542-3733x343,Inactive
226,Sara Kelly,LIC-Na-1117,001-880-575-9579x47284,Inactive
227,Bethany Fox,LIC-Gw-6780,(727)718-7500x3691,Active
228,Debbie Dunn,LIC-vx-3479,(976)436-5564,Inactive
229,Veronica Parks,LIC-By-1438,722.970.2672,Active
230,Justin Bradley,LIC-nq-6120,317.754.5588x4506,Active
231,Tracey Gonzalez,LIC-wu-9824,+1-887-371-6947x22569,Inactive
232,Greg Edwards,LIC-rC-4496,001-459-887-6220x23413,Active
233,Arthur Johns,LIC-HW-8006,514-692-1643,Active
234,Cameron Rose,LIC-uE-2005,884.687.2829x979,Active
235,Karen Perez,LIC-Aq-1745,(240)908-2547,Active
236,Karen Smith,LIC-Ya-6493,+1-853-868-6632,Inactive
237,Bobby Garrett,LIC-PV-8944,+1-946-931-2241,Active
238,Marcus Lopez,LIC-bl-0208,244-927-0312,Active
239,Jason Floyd,LIC-vf-7570,001-520-846-1872x34601,Inactive
240,Jessica Rojas,LIC-HQ-0371,376.645.2088,Active
241,Mr. Isaac Williams,LIC-ua-3136,(949)416-3009,Active
242,Brandon Moore,LIC-dw-1950,+1-828-712-7358x5730,Active
243,Danielle Williams,LIC-SF-7848,492.385.5749,Active
244,Joanna Weiss,LIC-XO-8570,962.409.5935x18638,Inactive
245,Erica Davidson,LIC-ci-1181,(803)917-3109,Inactive
246,Meredith Scott,LIC-an-5391,+1-271-370-5865x0948,Active
247,Angela Lewis,LIC-Iy-8113,338.739.2886,Active
248,Michele Simmons,LIC-zG-1228,528-597-5585x56659,Inactive
249,Joshua Garner,LIC-aU-5776,5495082404,Active
250,Alison Short,LIC-KK-4888,(510)575-2245,Active
